USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
rajasurya         1028 103.3  2.5 537460288 209712   ??  R    11:35AM  61:49.93 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
rajasurya        71046  50.7  1.4 1951145920 113424   ??  R     7:12PM   0:06.52 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=7b957337-2777-41c4-9da3-a3c049d841d9 --extension-process --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2199 --launch-time-ticks=19401707645 --shared-files --metrics-shmem-handle=1752395122,r,10369000349965542202,14694994038294132247,2097152 --field-trial-handle=1718379636,r,3751889532216449349,1173215868710034693,262144 --variations-seed-version=20260902-010033.819000-production --pseudonymization-salt-handle=1935764596,r,5608448436285645687,1084734478086000897,4 --trace-process-track-uuid=3190711046866897445 --seatbelt-client=287
rajasurya        26073  26.8  1.4 1949474304 121232   ??  S    12:31PM   8:43.01 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=7b957337-2777-41c4-9da3-a3c049d841d9 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=573 --launch-time-ticks=3424145469 --shared-files --metrics-shmem-handle=1752395122,r,18210258566433862785,5397341771453510419,2097152 --field-trial-handle=1718379636,r,3751889532216449349,1173215868710034693,262144 --variations-seed-version=20260902-010033.819000-production --pseudonymization-salt-handle=1935764596,r,5608448436285645687,1084734478086000897,4 --trace-process-track-uuid=3190709523236850971 --seatbelt-client=309
rajasurya         6356  26.7  1.0 1951216704  85024   ??  S     4:09PM  12:17.92 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=7b957337-2777-41c4-9da3-a3c049d841d9 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1563 --launch-time-ticks=13038186866 --shared-files --metrics-shmem-handle=1752395122,r,15256298691020022179,12572414338889669358,2097152 --field-trial-handle=1718379636,r,3751889532216449349,1173215868710034693,262144 --variations-seed-version=20260902-010033.819000-production --pseudonymization-salt-handle=1935764596,r,5608448436285645687,1084734478086000897,4 --trace-process-track-uuid=3190710450908281481 --seatbelt-client=175
rajasurya        22683  10.2  6.1 437521456 513616   ??  Ss    5:53PM  32:15.48 /System/Library/Frameworks/Virtualization.framework/Versions/A/XPCServices/com.apple.Virtualization.VirtualMachine.xpc/Contents/MacOS/com.apple.Virtualization.VirtualMachine
rajasurya        74112   9.7  2.0 440954352 168896   ??  S     3:20PM   6:23.05 /Users/rajasurya/.vscode/extensions/anthropic.claude-code-2.1.251-darwin-arm64/resources/native-binary/claude --output-format stream-json --verbose --input-format stream-json --max-thinking-tokens 31999 --permission-prompt-tool stdio --setting-sources=user,project,local --permission-mode bypassPermissions --allow-dangerously-skip-permissions --include-partial-messages --debug --debug-to-stderr --enable-auth-status --no-chrome --replay-user-messages
root               361   5.2  0.1 435347488   6192   ??  Ss   11:35AM   0:52.35 /usr/libexec/opendirectoryd
rajasurya        71217   4.5  0.1 435405680   9248   ??  S     7:12PM   0:00.02 /usr/bin/expect -f /private/tmp/claude-501/-Users-rajasurya-devops-heros/433e087a-6d7f-456e-8e04-c5a4bf549107/scratchpad/term/rec.exp /private/tmp/claude-501/-Users-rajasurya-devops-heros/433e087a-6d7f-456e-8e04-c5a4bf549107/scratchpad/term/cmds/shell-01-run.cmds /private/tmp/claude-501/-Users-rajasurya-devops-heros/433e087a-6d7f-456e-8e04-c5a4bf549107/scratchpad/term/raw/shell-01-run.raw /Users/rajasurya/devops-heros
rajasurya        69515   2.9  0.9 1951349552  75184   ??  S     3:19PM   3:40.89 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --user-data-dir=/Users/rajasurya/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,9766874116593460391,7633070548864621617,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,7202406566542703733,17975514824679918184,4 --trace-process-track-uuid=3190708992871164437
rajasurya        71218   2.5  0.0 435304096   2448 s000  Ss    7:12PM   0:00.01 bash --norc --noprofile
rajasurya        71210   2.5  0.0 435308352   3072   ??  Ss    7:12PM   0:00.02 /bin/zsh -c source /Users/rajasurya/.claude/shell-snapshots/snapshot-zsh-1788438136200-1ybcsd.sh 2>/dev/null || true && setopt NO_EXTENDED_GLOB NO_BARE_GLOB_QUAL 2>/dev/null || true && { \builtin unalias -- 'unsetenv'; \builtin unset -f -- 'unsetenv'; } >/dev/null 2>&1 || true && eval 'cd /Users/rajasurya/devops-heros\012python3 - <<'"'"'PY'"'"'\012p='"'"'homework/shell-scripting/system-info.sh'"'"'\012s=open(p).read()\012old = '"'"''"'"''"'"'echo "--- first 5 lines of $process_file ---"\012head -5 "$process_file"'"'"''"'"''"'"'\012new = '"'"''"'"''"'"'echo "--- first 5 lines of $process_file (cut to width) ---"\012head -5 "$process_file" | cut -c1-105'"'"''"'"''"'"'\012assert old in s\012open(p,'"'"'w'"'"').write(s.replace(old,new,1))\012print("verification section trimmed too")\012PY\012bash -n homework/shell-scripting/system-info.sh && echo "syntax OK"\012SP=/private/tmp/claude-501/-Users-rajasurya-devops-heros/433e087a-6d7f-456e-8e04-c5a4bf549107/scratchpad\012rm -rf homework/shell-scripting/system-report-2026-09-03\012bash "$SP/term/capture.sh" shell-01-run\012python3 -c "\012import struct\012d=open('"'"'/private/tmp/hwshots/img/shell-01-run.png'"'"','"'"'rb'"'"').read(33)\012w,h=struct.unpack('"'"'>II'"'"', d[16:24]); print(f'"'"'now {w}x{h}'"'"')"' && pwd -P >| /tmp/claude-dff4-cwd
rajasurya        69145   2.4  0.9 1949237264  74272   ??  S     3:19PM   2:03.82 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/rajasurya/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1788418957707725 --launch-time-ticks=10029970499 --shared-files --field-trial-handle=1718379636,r,9766874116593460391,7633070548864621617,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,7202406566542703733,17975514824679918184,4 --trace-process-track-uuid=3190708990060038890 --vscode-window-config=vscode:3bd008e2-7fe5-4f87-bb92-264755511459 --seatbelt-client=65
rajasurya        69590   2.2  1.2 1949424096  97728   ??  S     3:20PM   5:48.25 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/rajasurya/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=13 --time-ticks-at-unix-epoch=-1788418957707725 --launch-time-ticks=10042509352 --shared-files --field-trial-handle=1718379636,r,9766874116593460391,7633070548864621617,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,7202406566542703733,17975514824679918184,4 --trace-process-track-uuid=3190708998493415531 --vscode-window-config=vscode:e50588cd-9dfe-4abc-b458-33dcb1741bee --seatbelt-client=119
