USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
rajasurya        22683  32.7  6.1 437520896 509808   ??  Ss    5:53PM  59:29.48 /System/Library/Frameworks/Virtualization.framework/Versions/A/XPCServices/com.apple.Virtualization.VirtualMachine.xpc/Contents/MacOS/com.apple.Virtualization.VirtualMachine
rajasurya        74112   9.5  2.6 440943856 220880   ??  S     3:20PM   9:21.35 /Users/rajasurya/.vscode/extensions/anthropic.claude-code-2.1.251-darwin-arm64/resources/native-binary/claude --output-format stream-json --verbose --input-format stream-json --max-thinking-tokens 31999 --permission-prompt-tool stdio --setting-sources=user,project,local --permission-mode bypassPermissions --allow-dangerously-skip-permissions --include-partial-messages --debug --debug-to-stderr --enable-auth-status --no-chrome --replay-user-messages
rajasurya        69590   9.0  1.7 1949442592 142688   ??  S     3:20PM   6:53.03 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/rajasurya/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=13 --time-ticks-at-unix-epoch=-1788418957707725 --launch-time-ticks=10042509352 --shared-files --field-trial-handle=1718379636,r,9766874116593460391,7633070548864621617,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,7202406566542703733,17975514824679918184,4 --trace-process-track-uuid=3190708998493415531 --vscode-window-config=vscode:e50588cd-9dfe-4abc-b458-33dcb1741bee --seatbelt-client=119
root               493   4.9  0.1 435356384  11584   ??  Ss   11:35AM   1:47.66 /usr/libexec/syspolicyd
root               361   4.6  0.1 435348048   8128   ??  Ss   11:35AM   1:10.89 /usr/libexec/opendirectoryd
rajasurya        82583   4.4  1.8 440925280 148528   ??  S     3:35PM   7:34.41 /Users/rajasurya/.vscode/extensions/anthropic.claude-code-2.1.251-darwin-arm64/resources/native-binary/claude --output-format stream-json --verbose --input-format stream-json --max-thinking-tokens 31999 --permission-prompt-tool stdio --resume=f319ad7b-49f2-448b-9cfb-c7db7baa2243 --setting-sources=user,project,local --permission-mode bypassPermissions --allow-dangerously-skip-permissions --include-partial-messages --debug --debug-to-stderr --enable-auth-status --no-chrome --replay-user-messages
_windowserver      393   4.2  0.3 436380784  24112   ??  Ss   11:35AM  66:54.94 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
rajasurya        27799   2.9  0.1 435406128   9200   ??  S     8:47PM   0:00.02 /usr/bin/expect -f /private/tmp/claude-501/-Users-rajasurya-devops-heros/433e087a-6d7f-456e-8e04-c5a4bf549107/scratchpad/term/rec.exp /private/tmp/claude-501/-Users-rajasurya-devops-heros/433e087a-6d7f-456e-8e04-c5a4bf549107/scratchpad/term/cmds/shell-01-run.cmds /private/tmp/claude-501/-Users-rajasurya-devops-heros/433e087a-6d7f-456e-8e04-c5a4bf549107/scratchpad/term/raw/shell-01-run.raw /Users/rajasurya/devops-heros
rajasurya        69143   2.8  0.5 486373584  39664   ??  S     3:19PM   3:02.33 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=gpu-process --user-data-dir=/Users/rajasurya/Library/Application Support/Code --gpu-preferences=SAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAwAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=1718379636,r,9766874116593460391,7633070548864621617,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,7202406566542703733,17975514824679918184,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=33
rajasurya        27792   2.4  0.0 435307984   3056   ??  Ss    8:47PM   0:00.01 /bin/zsh -c source /Users/rajasurya/.claude/shell-snapshots/snapshot-zsh-1788438136200-1ybcsd.sh 2>/dev/null || true && setopt NO_EXTENDED_GLOB NO_BARE_GLOB_QUAL 2>/dev/null || true && { \builtin unalias -- 'unsetenv'; \builtin unset -f -- 'unsetenv'; } >/dev/null 2>&1 || true && eval 'cd /Users/rajasurya/devops-heros\012SP=/private/tmp/claude-501/-Users-rajasurya-devops-heros/433e087a-6d7f-456e-8e04-c5a4bf549107/scratchpad\012C="$SP/term/cmds"; S="Rajasurya-24BCS10086"\012rm -rf "session3-shell-scripting/$S/system-report-2026-09-03"\012cat > "$C/shell-01-run.cmds" <<EOF\012cd session3-shell-scripting/$S\012ls -l\012!!./system-info.sh\012~~Enter your name:\012@@Rajasurya J\012~~Enter your roll number:\012@@24BCS10086\012~~Enter a short comment:\012@@First shell script for the DevOps homework\012~~devops-heros %\012EOF\012cat > "$C/shell-02-verify.cmds" <<EOF\012cd session3-shell-scripting/$S\012ls -l system-report-2026-09-03\012wc -l system-report-2026-09-03/process.log\012head -3 system-report-2026-09-03/process.log | cut -c1-100\012cat system-report-2026-09-03/summary.txt\012EOF\012bash "$SP/term/capture.sh" shell-01-run\012bash "$SP/term/capture.sh" shell-02-verify\012cp /private/tmp/hwshots/img/shell-0*.png "session3-shell-scripting/$S/images/"\012ls "session3-shell-scripting/$S"' && pwd -P >| /tmp/claude-0b49-cwd
rajasurya         1028   2.0  1.4 537450800 118464   ??  S    11:35AM  70:58.72 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
root               360   1.4  0.1 435380800   4432   ??  Ss   11:35AM   0:01.35 /usr/libexec/xprotectd
rajasurya         1040   1.4  0.6 486148400  50560   ??  S    11:35AM   8:25.92 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=network --metrics-client-id=7b957337-2777-41c4-9da3-a3c049d841d9 --shared-files --metrics-shmem-handle=1752395122,r,12094606215847641359,1825674109838292178,524288 --field-trial-handle=1718379636,r,3751889532216449349,1173215868710034693,262144 --variations-seed-version=20260902-010033.819000-production --pseudonymization-salt-handle=1935764596,r,5608448436285645687,1084734478086000897,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=19
